id,nivel,iso3,pais,departamento,municipio,anio,periodo,causa,sexo,grupo_edad,personas_desplazadas,desplazamiento_stock,duracion_periodo_anios,tipo_fuente,fuente
27790,Regional,COL,Colombia,SUCRE,SAN ONOFRE,1997,1997-2004,Conflicto armado / violencia,Todos,Todos,31386.0,,8,Secundaria,CNMH - Desplazamiento forzado histórico por municipios (Una nación desplazada)
27791,Regional,COL,Colombia,SUCRE,SAN ONOFRE,2005,2005-2014,Conflicto armado / violencia,Todos,Todos,9352.0,,10,Secundaria,CNMH - Desplazamiento forzado histórico por municipios (Una nación desplazada)
27792,Regional,COL,Colombia,SUCRE,SAN PEDRO,1980,1980-1988,Conflicto armado / violencia,Todos,Todos,62.0,,9,Secundaria,CNMH - Desplazamiento forzado histórico por municipios (Una nación desplazada)
27793,Regional,COL,Colombia,SUCRE,SAN PEDRO,1989,1989-1996,Conflicto armado / violencia,Todos,Todos,470.0,,8,Secundaria,CNMH - Desplazamiento forzado histórico por municipios (Una nación desplazada)
27794,Regional,COL,Colombia,SUCRE,SAN PEDRO,1997,1997-2004,Conflicto armado / violencia,Todos,Todos,1981.0,,8,Secundaria,CNMH - Desplazamiento forzado histórico por municipios (Una nación desplazada)
27795,Regional,COL,Colombia,SUCRE,SAN PEDRO,2005,2005-2014,Conflicto armado / violencia,Todos,Todos,993.0,,10,Secundaria,CNMH - Desplazamiento forzado histórico por municipios (Una nación desplazada)
27796,Regional,COL,Colombia,SUCRE,SAN LUIS DE SINCÉ,1980,1980-1988,Conflicto armado / violencia,Todos,Todos,2.0,,9,Secundaria,CNMH - Desplazamiento forzado histórico por municipios (Una nación desplazada)
27797,Regional,COL,Colombia,SUCRE,SAN LUIS DE SINCÉ,1989,1989-1996,Conflicto armado / violencia,Todos,Todos,43.0,,8,Secundaria,CNMH - Desplazamiento forzado histórico por municipios (Una nación desplazada)
27798,Regional,COL,Colombia,SUCRE,SAN LUIS DE SINCÉ,1997,1997-2004,Conflicto armado / violencia,Todos,Todos,795.0,,8,Secundaria,CNMH - Desplazamiento forzado histórico por municipios (Una nación desplazada)
27799,Regional,COL,Colombia,SUCRE,SAN LUIS DE SINCÉ,2005,2005-2014,Conflicto armado / violencia,Todos,Todos,483.0,,10,Secundaria,CNMH - Desplazamiento forzado histórico por municipios (Una nación desplazada)
27800,Regional,COL,Colombia,SUCRE,SUCRE,1980,1980-1988,Conflicto armado / violencia,Todos,Todos,139.0,,9,Secundaria,CNMH - Desplazamiento forzado histórico por municipios (Una nación desplazada)
27801,Regional,COL,Colombia,SUCRE,SUCRE,1989,1989-1996,Conflicto armado / violencia,Todos,Todos,1315.0,,8,Secundaria,CNMH - Desplazamiento forzado histórico por municipios (Una nación desplazada)
27802,Regional,COL,Colombia,SUCRE,SUCRE,1997,1997-2004,Conflicto armado / violencia,Todos,Todos,11045.0,,8,Secundaria,CNMH - Desplazamiento forzado histórico por municipios (Una nación desplazada)
