id,nivel,iso3,pais,departamento,municipio,anio,periodo,causa,sexo,grupo_edad,personas_desplazadas,desplazamiento_stock,duracion_periodo_anios,tipo_fuente,fuente,personas_desplazadas_flag,desplazamiento_stock_flag,registro_valido_dominio,outlier_iqr_extremo
59,Global,DNK,Denmark,,,2024,2024,Desastre natural / climático,Todos,Todos,8.0,,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,no_disponible_en_fuente,True,False
60,Global,DOM,Dominican Republic,,,2024,2024,Desastre natural / climático,Todos,Todos,3800.0,,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,no_disponible_en_fuente,True,False
61,Global,DZA,Algeria,,,2024,2024,Desastre natural / climático,Todos,Todos,15000.0,25.0,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,reportado,True,False
62,Global,ECU,Ecuador,,,2024,2024,Conflicto armado / violencia,Todos,Todos,101000.0,49000.0,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,reportado,True,False
63,Global,ECU,Ecuador,,,2024,2024,Desastre natural / climático,Todos,Todos,4400.0,8800.0,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,reportado,True,False
64,Global,ESP,Spain,,,2024,2024,Desastre natural / climático,Todos,Todos,14000.0,4000.0,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,reportado,True,False
65,Global,ETH,Ethiopia,,,2024,2024,Conflicto armado / violencia,Todos,Todos,387000.0,2378000.0,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,reportado,True,True
66,Global,ETH,Ethiopia,,,2024,2024,Desastre natural / climático,Todos,Todos,227000.0,757000.0,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,reportado,True,True
67,Global,FIN,Finland,,,2024,2024,Desastre natural / climático,Todos,Todos,11.0,,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,no_disponible_en_fuente,True,False
68,Global,FJI,Fiji,,,2024,2024,Desastre natural / climático,Todos,Todos,760.0,260.0,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,reportado,True,False
69,Global,FRA,France,,,2024,2024,Desastre natural / climático,Todos,Todos,4000.0,59.0,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,reportado,True,False
70,Global,GAB,Gabon,,,2024,2024,Desastre natural / climático,Todos,Todos,18.0,8.0,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,reportado,True,False
71,Global,GBR,United Kingdom,,,2024,2024,Desastre natural / climático,Todos,Todos,1500.0,,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,no_disponible_en_fuente,True,False
72,Global,GEO,Georgia,,,2024,2024,Conflicto armado / violencia,Todos,Todos,,299000.0,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),sin_dato,reportado,True,False
73,Global,GEO,Georgia,,,2024,2024,Desastre natural / climático,Todos,Todos,300.0,49000.0,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,reportado,True,False
74,Global,GHA,Ghana,,,2024,2024,Conflicto armado / violencia,Todos,Todos,,3200.0,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),sin_dato,reportado,True,False
75,Global,GHA,Ghana,,,2024,2024,Desastre natural / climático,Todos,Todos,1800.0,1800.0,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,reportado,True,False
76,Global,GIN,Guinea,,,2024,2024,Desastre natural / climático,Todos,Todos,5200.0,5200.0,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,reportado,True,False
77,Global,GMB,Gambia,,,2024,2024,Desastre natural / climático,Todos,Todos,7500.0,7500.0,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,reportado,True,False
78,Global,GNB,Guinea-Bissau,,,2024,2024,Desastre natural / climático,Todos,Todos,1000.0,,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,no_disponible_en_fuente,True,False
79,Global,GRC,Greece,,,2024,2024,Desastre natural / climático,Todos,Todos,60000.0,,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,no_disponible_en_fuente,True,False
80,Global,GRD,Grenada,,,2024,2024,Desastre natural / climático,Todos,Todos,3100.0,380.0,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,reportado,True,False
81,Global,GTM,Guatemala,,,2024,2024,Conflicto armado / violencia,Todos,Todos,550.0,573000.0,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,reportado,True,False
82,Global,GTM,Guatemala,,,2024,2024,Desastre natural / climático,Todos,Todos,81000.0,,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,no_disponible_en_fuente,True,False
83,Global,GUY,Guyana,,,2024,2024,Desastre natural / climático,Todos,Todos,32.0,,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,no_disponible_en_fuente,True,False
84,Global,HKG,"Hong Kong, China",,,2024,2024,Desastre natural / climático,Todos,Todos,390.0,,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,no_disponible_en_fuente,True,False
85,Global,HND,Honduras,,,2024,2024,Conflicto armado / violencia,Todos,Todos,4300.0,101000.0,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,reportado,True,False
86,Global,HND,Honduras,,,2024,2024,Desastre natural / climático,Todos,Todos,20000.0,,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,no_disponible_en_fuente,True,False
87,Global,HRV,Croatia,,,2024,2024,Desastre natural / climático,Todos,Todos,7.0,,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,no_disponible_en_fuente,True,False
88,Global,HTI,Haiti,,,2024,2024,Conflicto armado / violencia,Todos,Todos,889000.0,1037000.0,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,reportado,True,True
89,Global,HTI,Haiti,,,2024,2024,Desastre natural / climático,Todos,Todos,4800.0,3800.0,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,reportado,True,False
90,Global,HUN,Hungary,,,2024,2024,Desastre natural / climático,Todos,Todos,8.0,,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,no_disponible_en_fuente,True,False
91,Global,IDN,Indonesia,,,2024,2024,Conflicto armado / violencia,Todos,Todos,14000.0,57000.0,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,reportado,True,False
92,Global,IDN,Indonesia,,,2024,2024,Desastre natural / climático,Todos,Todos,516000.0,39000.0,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,reportado,True,True
93,Global,IND,India,,,2024,2024,Conflicto armado / violencia,Todos,Todos,1700.0,525000.0,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,reportado,True,False
94,Global,IND,India,,,2024,2024,Desastre natural / climático,Todos,Todos,5431000.0,118000.0,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,reportado,True,True
95,Global,IRL,Ireland,,,2024,2024,Desastre natural / climático,Todos,Todos,7.0,,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,no_disponible_en_fuente,True,False
96,Global,IRN,Iran,,,2024,2024,Desastre natural / climático,Todos,Todos,26000.0,420.0,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,reportado,True,False
97,Global,IRQ,Iraq,,,2024,2024,Conflicto armado / violencia,Todos,Todos,23000.0,1031000.0,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,reportado,True,False
98,Global,IRQ,Iraq,,,2024,2024,Desastre natural / climático,Todos,Todos,46000.0,170000.0,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,reportado,True,False
99,Global,ISL,Iceland,,,2024,2024,Desastre natural / climático,Todos,Todos,390.0,3700.0,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,reportado,True,False
100,Global,ISR,Israel,,,2024,2024,Conflicto armado / violencia,Todos,Todos,740.0,68000.0,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,reportado,True,False
101,Global,ITA,Italy,,,2024,2024,Desastre natural / climático,Todos,Todos,9400.0,,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,no_disponible_en_fuente,True,False
102,Global,JAM,Jamaica,,,2024,2024,Desastre natural / climático,Todos,Todos,1800.0,,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,no_disponible_en_fuente,True,False
103,Global,JPN,Japan,,,2024,2024,Desastre natural / climático,Todos,Todos,110000.0,29000.0,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,reportado,True,False
104,Global,KAZ,Kazakhstan,,,2024,2024,Desastre natural / climático,Todos,Todos,120000.0,,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,no_disponible_en_fuente,True,False
